,Title,Ratings,Price,Url
13,boAt Wave beat 1.69Inch HD display with complete health monitoring Smartwatch,4.1,"1,499",https://www.flipkart.com/boat-wave-beat-1-69inch-hd-display-complete-health-monitoring-smartwatch/p/itm8ae87069880cd?pid=SMWGHYF52QVXFREG&lid=LSTSMWGHYF52QVXFREGQ1IRCW&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=87ddb6d8-9095-4786-bc24-a4919a2108a8.SMWGHYF52QVXFREG.SEARCH&ppt=hp&ppn=homepage&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
14,boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch,4.1,"1,999",https://www.flipkart.com/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGHYF5FXGPBV6A&lid=LSTSMWGHYF5FXGPBV6AMEEQAX&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&spotlightTagId=BestsellerId_ajy%2Fbuh&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=87ddb6d8-9095-4786-bc24-a4919a2108a8.SMWGHYF5FXGPBV6A.SEARCH&ppt=hp&ppn=homepage&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
15,boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch,4.1,"1,999",https://www.flipkart.com/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGHYF5D9YKF7HJ&lid=LSTSMWGHYF5D9YKF7HJG4JRO8&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=87ddb6d8-9095-4786-bc24-a4919a2108a8.SMWGHYF5D9YKF7HJ.SEARCH&ppt=hp&ppn=homepage&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
16,rudson I7ProMaxBlack Smartwatch,3.4,999,https://www.flipkart.com/rudson-i7promaxblack-smartwatch/p/itm97d98cfe456aa?pid=SMWGHS8ES9ETSENK&lid=LSTSMWGHS8ES9ETSENKPGPMQQ&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_H1zKaXWg2IHLrZWNlVPCmjnrOjsO%2FrDMZ3IKG69%2BBfHntrPHTBMJhoAarqInq0HizVMbdn3ejPjZC1J%2B3uvKsg%3D%3D&ppt=hp&ppn=homepage&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
17,Makzee YOGA HEALTH WATCH WITH HEALTH INDIACATORS Smartwatch,No ratings,"1,199",https://www.flipkart.com/makzee-yoga-health-watch-indiacators-smartwatch/p/itm26f549dcbfb09?pid=SMWGK4HHVXXEZNZG&lid=LSTSMWGK4HHVXXEZNZGOXK8CN&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_H1zKaXWg2IHLrZWNlVPCmjnrOjsO%2FrDMZ3IKG69%2BBfGS%2BfFaEQok%2FYnrx9KjXT5HnM8S2oR1f9aoNvK4f8MA7Q%3D%3D&ppt=hp&ppn=homepage&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
18,"Noise ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance Smartwatch",4.2,"2,499",https://www.flipkart.com/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistance-smartwatch/p/itmfa97e2fcabed9?pid=SMWGEH7VGYMGCP3V&lid=LSTSMWGEH7VGYMGCP3VWUYKLZ&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=87ddb6d8-9095-4786-bc24-a4919a2108a8.SMWGEH7VGYMGCP3V.SEARCH&ppt=hp&ppn=homepage&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
19,"Noise ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces Smartwatch",4.2,"1,799",https://www.flipkart.com/noise-colorfit-caliber-go-1-69-inch-hd-display-40-sports-modes-150-watch-faces-smartwatch/p/itm1882cfe122ca0?pid=SMWGEGFHATYUCTNE&lid=LSTSMWGEGFHATYUCTNEHLOARC&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=87ddb6d8-9095-4786-bc24-a4919a2108a8.SMWGEGFHATYUCTNE.SEARCH&ppt=hp&ppn=homepage&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
20,Fitshot Crystal 1.8inch AMOLED Display with bluetooth calling 560 nits brightness Smartwatch,4.2,"2,999",https://www.flipkart.com/fitshot-crystal-1-8inch-amoled-display-bluetooth-calling-560-nits-brightness-smartwatch/p/itm70a1549bd850e?pid=SMWGGUQTKGDZESTP&lid=LSTSMWGGUQTKGDZESTP01YFN0&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_H1zKaXWg2IHLrZWNlVPCmjnrOjsO%2FrDMZ3IKG69%2BBfGQZ2bgHGmf0WlULX8GEKuyNiRnUlgZ6KiPpEKMyqjoqg%3D%3D&ppt=hp&ppn=homepage&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
21,Happysome T55 Smart Watch Smartwatch,4.3,999,https://www.flipkart.com/happysome-t55-smart-watch-smartwatch/p/itm716e4909240bf?pid=SMWGHV9FFHFPMTRK&lid=LSTSMWGHV9FFHFPMTRKZX4QWQ&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en_H1zKaXWg2IHLrZWNlVPCmjnrOjsO%2FrDMZ3IKG69%2BBfEYQg5wqMY7SdpNTvWmPDYQbKmdYV2WSmcJi6WuBYoVFg%3D%3D&ppt=hp&ppn=homepage&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
22,"Noise ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance Smartwatch",4.2,"2,499",https://www.flipkart.com/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistance-smartwatch/p/itmadb5bf0ef4cdc?pid=SMWGEH7VV8B3H8Y6&lid=LSTSMWGEH7VV8B3H8Y6FEXTE7&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=87ddb6d8-9095-4786-bc24-a4919a2108a8.SMWGEH7VV8B3H8Y6.SEARCH&ppt=hp&ppn=homepage&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
23,realme Watch 3 - 1.8 inch Horizon Curved Display with Bluetooth Calling Smartwatch,4.3,"3,499",https://www.flipkart.com/realme-watch-3-1-8-inch-horizon-curved-display-bluetooth-calling-smartwatch/p/itm23af2beb0e520?pid=SMWGFZBYEUSHWXNY&lid=LSTSMWGFZBYEUSHWXNYMRDJIO&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=87ddb6d8-9095-4786-bc24-a4919a2108a8.SMWGFZBYEUSHWXNY.SEARCH&ppt=hp&ppn=homepage&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
24,"Noise ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance Smartwatch",4.2,"2,499",https://www.flipkart.com/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistance-smartwatch/p/itm339ed82cec89e?pid=SMWGEH7V3NRGVPQ9&lid=LSTSMWGEH7V3NRGVPQ9SWKH5T&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_25&otracker=search&otracker1=search&fm=Search&iid=78a321d0-8045-4422-ba52-75dd9a430234.SMWGEH7V3NRGVPQ9.SEARCH&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
25,"Noise Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games Smartwatch",4.2,"2,199",https://www.flipkart.com/noise-icon-buzz-bt-calling-1-69-display-ai-voice-assistance-built-in-games-smartwatch/p/itmd8257a482e5d5?pid=SMWGAU62XCAESACH&lid=LSTSMWGAU62XCAESACH1NQTLW&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&spotlightTagId=BestsellerId_ajy%2Fbuh&srno=s_2_26&otracker=search&otracker1=search&fm=Search&iid=78a321d0-8045-4422-ba52-75dd9a430234.SMWGAU62XCAESACH.SEARCH&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
26,"GOQii Smart Vital Lite 1.4"" Smart Touch HD With 3 Months Health Coaching Smartwatch",3.9,"1,899",https://www.flipkart.com/goqii-smart-vital-lite-1-4-touch-hd-3-months-health-coaching-smartwatch/p/itm1f3a2df8ab7a0?pid=SMWGE5ZATJG3FERS&lid=LSTSMWGE5ZATJG3FERSGKA5XP&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_27&otracker=search&otracker1=search&fm=Search&iid=en_Ap8Glkt0VeZSOvd5KflGUlIvxCYyqz8QI5c4QfTDGDqsjkE2DHb3isPZIuF05%2B6erpoh06n7exLeIXLFg44RYQ%3D%3D&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
